Shares_Owned,Dollar_Amount,Date,Stock_Price,Amount_Invested
186.53637828174828,267084.66271745594,2006-12-01,1431.81005859375,155000
187.9295585914482,270921.12820814323,2007-01-01,1441.6099853515625,156000
188.613754378683,275672.1948566302,2007-02-01,1461.5699462890625,157000
189.30873452992432,272394.44780083996,2007-03-01,1438.8900146484375,158000
190.68619010551,285651.73022619577,2007-04-01,1498.02001953125,159000
191.33741829707665,293810.09725143586,2007-05-01,1535.56005859375,160000
191.98653288006332,295766.7843429213,2007-06-01,1540.56005859375,161000
193.3491971957096,300832.0206372439,2007-07-01,1555.9000244140625,162000
194.01413943899843,291775.9270029193,2007-08-01,1503.8900146484375,163000
194.6640218144137,299537.3150256951,2007-09-01,1538.739990234375,164000
196.02849344339234,308958.5415310036,2007-10-01,1576.0899658203125,165000
196.67541183122623,304018.89253722446,2007-11-01,1545.7900390625,166000
197.33176502487888,300648.7466400806,2007-12-01,1523.5699462890625,167000
198.75121312547844,292516.07682354504,2008-01-01,1471.77001953125,168000
199.46753523118562,278460.6724292901,2008-02-01,1396.02001953125,169000
200.20300237087832,272212.02901672677,2008-03-01,1359.6800537109375,170000
201.66572532497844,283253.6169880498,2008-04-01,1404.5699462890625,171000
202.360054052677,291447.0422726551,2008-05-01,1440.239990234375,172000
203.07227937600834,285123.64377352316,2008-06-01,1404.050048828125,173000
204.60769237750657,264387.93085099163,2008-07-01,1292.1700439453125,174000
205.36921998776285,269680.59624082776,2008-08-01,1313.1500244140625,175000
206.13665611406904,268604.3164350896,2008-09-01,1303.0400390625,176000
207.76654455445978,242469.7965783017,2008-10-01,1167.030029296875,177000
208.7590905245317,210326.87333303393,2008-11-01,1007.510009765625,178000
209.84740747133503,192818.28523180846,2008-12-01,918.8499755859375,179000
211.69382566188258,199807.21218266158,2009-01-01,943.8499755859375,180000
212.8366697309097,186234.2164597264,2009-02-01,875.010009765625,181000
214.03717877488128,178288.68499548695,2009-03-01,832.97998046875,182000
215.96505729314256,191928.149052708,2009-04-01,888.7000122070312,183000
217.04012961150676,201884.21365155335,2009-05-01,930.1699829101562,184000
218.08590313924094,208540.27889934607,2009-06-01,956.22998046875,185000
219.90705634250244,219176.96330479794,2009-07-01,996.6799926757812,186000
220.86908509579445,229586.78141375148,2009-08-01,1039.469970703125,187000
221.79488241783076,239571.74765853403,2009-09-01,1080.1500244140625,188000
223.53458156903855,246192.04348244396,2009-10-01,1101.3599853515625,189000
224.4324975533899,249948.21504989316,2009-11-01,1113.68994140625,190000
225.31715580608403,254694.0076802627,2009-12-01,1130.3800048828125,191000
227.03132026308504,261188.1713111525,2010-01-01,1150.449951171875,192000
227.93026127501915,253554.19126402336,2010-02-01,1112.4200439453125,193000
228.77722368651303,270114.9668295136,2010-03-01,1180.68994140625,194000
230.45494476818087,281108.95288090984,2010-04-01,1219.800048828125,195000
231.2847307630099,278728.16871374607,2010-05-01,1205.1300048828125,196000
232.16872430743985,262636.2214637598,2010-06-01,1131.22998046875,197000
233.931457512963,262225.4558767214,2010-07-01,1120.949951171875,198000
234.81700886488815,265164.75679745147,2010-08-01,1129.239990234375,199000
235.68119356748971,272720.8580040659,2010-09-01,1157.1600341796875,200000
237.40102057229717,283964.8602249015,2010-10-01,1196.1400146484375,201000
238.2159633924987,292310.03389119235,2010-11-01,1227.0799560546875,202000
239.00797988175606,301771.46956354944,2010-12-01,1262.5999755859375,203000
240.67191390617307,313516.0926645569,2011-01-01,1302.6700439453125,204000
241.41592280449044,324479.88639715593,2011-02-01,1344.0699462890625,205000
242.16651575642996,322633.61270669865,2011-03-01,1332.280029296875,206000
243.80747711748228,332689.945261026,2011-04-01,1364.56005859375,207000
244.53709525875334,335157.6412734831,2011-05-01,1370.5799560546875,208000
245.28047916917413,329951.2886017871,2011-06-01,1345.199951171875,209000
246.9374831469963,334965.7523162398,2011-07-01,1356.47998046875,210000
247.702371699877,323841.12792246946,2011-08-01,1307.3800048828125,211000
248.51584937253645,305498.0581828157,2011-09-01,1229.2900390625,212000
250.22138241331731,323451.18074288743,2011-10-01,1292.6600341796875,213000
251.0041306124327,320670.3393199745,2011-11-01,1277.550048828125,214000
251.79192298490617,319617.1120498976,2011-12-01,1269.3699951171875,215000
253.48606584545456,338016.0567965887,2012-01-01,1333.469970703125,216000
254.2117341654261,350313.9480794696,2012-02-01,1378.0400390625,217000
254.9163813012445,361764.5887472056,2012-03-01,1419.1500244140625,218000
256.57536473443355,364947.668543773,2012-04-01,1422.3800048828125,219000
257.2819187561033,364136.2314350351,2012-05-01,1415.3199462890625,220000
258.01534696716163,351793.5948971217,2012-06-01,1363.4599609375,221000
259.7014295351859,361436.8650051529,2012-07-01,1391.739990234375,222000
260.4023575375077,371510.84943806625,2012-08-01,1426.6800537109375,223000
261.08054893219276,384965.88275562227,2012-09-01,1474.510009765625,224000
262.7394291481882,386479.18043655995,2012-10-01,1470.9599609375,225000
263.4366479329236,377839.28617600136,2012-11-01,1434.27001953125,226000
264.12725566773025,382456.2662068734,2012-12-01,1448.0,227000
265.7800108734943,401311.8540452765,2013-01-01,1509.93994140625,228000
266.4332043613338,407893.23427361983,2013-02-01,1530.93994140625,229000
267.07003344999504,419374.7399501756,2013-03-01,1570.280029296875,230000
268.69749675904603,429263.0454653547,2013-04-01,1597.5699462890625,231000
269.2902017271972,454341.0570139218,2013-05-01,1687.1800537109375,232000
269.8947272263366,446457.1430163896,2013-06-01,1654.18994140625,233000
271.49549018589875,461211.1167719705,2013-07-01,1698.780029296875,234000
272.0803983695225,465167.7066370797,2013-08-01,1709.6700439453125,235000
272.6584798376575,471660.99393794953,2013-09-01,1729.8599853515625,236000
274.24425960927374,486843.8865090751,2013-10-01,1775.219970703125,237000
274.7956642979098,498355.6904052314,2013-11-01,1813.550048828125,238000
