Shares_Owned,Dollar_Amount,Date,Stock_Price,Amount_Invested
20.247075770656846,28427.90772441749,2008-06-01,1404.050048828125,26500
20.634021747575932,26662.66478833373,2008-07-01,1292.1700439453125,27000
21.014785552704065,27595.56616158963,2008-08-01,1313.1500244140625,27500
21.398503615857162,27883.106987485564,2008-09-01,1303.0400390625,28000
21.82694160583866,25472.69630172307,2008-10-01,1167.030029296875,28500
22.323214590874624,22490.862150452234,2008-11-01,1007.510009765625,29000
22.867373064276286,21011.68518182479,2008-12-01,918.8499755859375,29500
23.3971182705413,22083.369508431697,2009-01-01,943.8499755859375,30000
23.968540305054855,20972.712686393825,2009-02-01,875.010009765625,30500
24.56879482704064,20465.31423516904,2009-03-01,832.97998046875,31000
25.131414375968383,22334.288262703063,2009-04-01,888.7000122070312,31500
25.66895053515048,23876.487280602567,2009-05-01,930.1699829101562,32000
26.191837299017575,25045.420068880252,2009-06-01,956.22998046875,32500
26.693502832262254,26604.88020735009,2009-07-01,996.6799926757812,33000
27.174517208908256,28247.09460701543,2009-08-01,1039.469970703125,33500
27.637415869926414,29852.555426642615,2009-09-01,1080.1500244140625,34000
28.09140004099687,30938.743937657197,2009-10-01,1101.3599853515625,34500
28.54035803317255,31785.109665677333,2009-11-01,1113.68994140625,35000
28.98268715951961,32761.450052894805,2009-12-01,1130.3800048828125,35500
29.4172997208837,33843.13102749907,2010-01-01,1150.449951171875,36000
29.86677022685076,33224.393848257874,2010-02-01,1112.4200439453125,36500
30.2902514325977,35763.39518913436,2010-03-01,1180.68994140625,37000
30.700154679019402,37448.05017649886,2010-04-01,1219.800048828125,37500
31.115047676433917,37497.67755822975,2010-05-01,1205.1300048828125,38000
31.557044448648895,35698.274775296566,2010-06-01,1131.22998046875,38500
32.00309469333403,35873.86743384167,2010-07-01,1120.949951171875,39000
32.44587036929661,36639.1743389703,2010-08-01,1129.239990234375,39500
32.877962720597395,38045.06446552497,2010-09-01,1157.1600341796875,40000
33.29597398506208,39826.64681022616,2010-10-01,1196.1400146484375,40500
33.70344539516286,41356.822294388,2010-11-01,1227.0799560546875,41000
34.09945363979154,43053.96933309461,2010-12-01,1262.5999755859375,41500
34.48328068972176,44920.33677145839,2011-01-01,1302.6700439453125,42000
34.85528513888044,46847.94122450499,2011-02-01,1344.0699462890625,42500
35.230581614850195,46937.00030597857,2011-03-01,1332.280029296875,43000
35.59700007833305,48574.24451265187,2011-04-01,1364.56005859375,43500
35.961809148968584,49288.53480304042,2011-05-01,1370.5799560546875,44000
36.33350110417898,48875.82391124483,2011-06-01,1345.199951171875,44500
36.70210219464787,49785.66686815801,2011-07-01,1356.47998046875,45000
37.08454647108823,48483.59454644822,2011-08-01,1307.3800048828125,45500
37.491285307417954,46087.66358005915,2011-09-01,1229.2900390625,46000
37.87808461023487,48963.4861469273,2011-10-01,1292.6600341796875,46500
38.269458709792566,48891.1488433214,2011-11-01,1277.550048828125,47000
38.6633548960293,49078.102615586795,2011-12-01,1269.3699951171875,47500
39.038316470706796,52056.422720492716,2012-01-01,1333.469970703125,48000
39.40115063069257,54296.36315422704,2012-02-01,1378.0400390625,48500
39.75347419860178,56416.14387948952,2012-03-01,1419.1500244140625,49000
40.104997700256455,57044.54682471596,2012-04-01,1422.3800048828125,49500
40.45827471109135,57261.40319104994,2012-05-01,1415.3199462890625,50000
40.8249888166205,55663.23765718326,2012-06-01,1363.4599609375,50500
41.18425132506922,57317.76953696188,2012-07-01,1391.739990234375,51000
41.534715326230135,59256.74989249451,2012-08-01,1426.6800537109375,51500
41.87381102357266,61743.353501292055,2012-09-01,1474.510009765625,52000
42.21372510232251,62094.69942753869,2012-10-01,1470.9599609375,52500
42.56233449469021,61045.88032699493,2012-11-01,1434.27001953125,53000
42.90763836209353,62130.26034831143,2012-12-01,1448.0,53500
43.238777360598554,65287.95695434007,2013-01-01,1509.93994140625,54000
43.56537410451832,66695.97127891264,2013-02-01,1530.93994140625,54500
43.88378864884891,68909.83692517235,2013-03-01,1570.280029296875,55000
44.196763990655654,70607.42187470212,2013-04-01,1597.5699462890625,55500
44.49311647473123,75067.89864360404,2013-05-01,1687.1800537109375,56000
44.79537922430094,74100.06573431712,2013-06-01,1654.18994140625,56500
45.08970809053263,76597.49563102257,2013-07-01,1698.780029296875,57000
45.38216218234451,77588.52321262224,2013-08-01,1709.6700439453125,57500
45.671202916412,79004.7864079727,2013-09-01,1729.8599853515625,58000
45.95285815252449,81576.43150324939,2013-10-01,1775.219970703125,58500
46.228560496842526,83837.80814630269,2013-11-01,1813.550048828125,59000
46.49891261199141,85996.94621657573,2013-12-01,1849.43994140625,59500
46.76906022563362,86562.04582945988,2014-01-01,1850.8399658203125,60000
47.03673763592787,87860.86503194652,2014-02-01,1867.9200439453125,60500
47.3021346474383,89115.80122592961,2014-03-01,1883.969970703125,61000
47.565669809501486,90245.39540969646,2014-04-01,1897.280029296875,61500
47.82554101337387,92017.77707710063,2014-05-01,1924.030029296875,62000
48.07958410357238,94628.7971580004,2014-06-01,1968.1700439453125,62500
48.33066500501411,96245.20369230378,2014-07-01,1991.3900146484375,63000
48.58003658376512,97404.9184495701,2014-08-01,2005.0400390625,63500
48.827652045658034,98595.72514654798,2014-09-01,2019.260009765625,64000
49.07539879621988,99043.47622103135,2014-10-01,2018.18994140625,64500
49.31627442618081,102368.75028449332,2014-11-01,2075.760009765625,65000
49.55510320425558,103746.08873295205,2014-12-01,2093.550048828125,65500
49.796374013421094,103196.01899967321,2015-01-01,2072.360107421875,66000
